Name,Type,ID,Wall_Width, Category , Category , Curtain version , Locked , Range , Angle 2 , Angle 1 , Deletable , Id , Family and Type , Family , Type , Family Name , Type Id , Bottom Vertical Projection , Top Vertical Projection , Horizontal Projection , Cross-Section , Base Extension Distance , Top Extension Distance , Radius , Angle , Related to Mass , Location Line Offset , Location Line , Base is Attached , Top is Attached , Top Offset , Base Offset , Base Constraint , Unconnected Height , Top Constraint , Room Bounding , Abstract Join Strength Order , Analytical Space Bounding , Volume , Area , Length , Desired Width , Image , Design Option , Design Option , Comments , Assembly Description , Assembly Code , Edited by , Workset , Type Name , Mark , Categorize as , Phase Demolished , Phase Created , Curved Edge Condition , Can host rebar , Structural , Enable Analytical Model , Structural Usage , Wall Modifier 
"Concrete_Foundation 12""","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5415418,12,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5415418,"Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ","Revit Host Type : Basic Wall : Concrete_Foundation 12"" : id 308814 ",,308814,,,,1,0,0,,0,FALSE,0,FinishFaceExterior,FALSE,FALSE,-10,0,Revit Level : CELLAR : id 5390893 ,110,Revit Level : LEVEL 01 : id 30 ,TRUE,3,TRUE,1.67E+06,139483.6119,1063.999125,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,TRUE,TRUE,TRUE,Bearing,
"Concrete_Core 20""","Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5415752,20,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5415752,"Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 ","Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 ","Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 ",,5415705,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,1,0,0,,0,FALSE,0,FinishFaceInterior,FALSE,FALSE,0,0,Revit Level : LEVEL 04 : id 5391257 ,2093,Revit Level : LEVEL 21 : id 5391961 ,TRUE,3,TRUE,1.27E+07,636039.125,402.125,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,FALSE,FALSE,FALSE,NonBearing,
"Concrete_Core 20""","Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5415811,20,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5415811,"Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 ","Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 ","Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 ",,5415705,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,1,0,0,,0.5 * Pi,FALSE,0,FinishFaceInterior,FALSE,FALSE,0,0,Revit Level : LEVEL 04 : id 5391257 ,2093,Revit Level : LEVEL 21 : id 5391961 ,TRUE,3,TRUE,1.33E+07,663360,320,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,FALSE,FALSE,FALSE,NonBearing,
"Concrete_Core 20""","Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5415862,20,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5415862,"Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 ","Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 ","Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 ",,5415705,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,1,0,0,,0,FALSE,0,FinishFaceInterior,FALSE,FALSE,0,0,Revit Level : LEVEL 04 : id 5391257 ,2093,Revit Level : LEVEL 21 : id 5391961 ,TRUE,3,TRUE,1.23E+07,616423.125,402.125,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,FALSE,FALSE,FALSE,NonBearing,
"Concrete_Core 20""","Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5415962,20,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5415962,"Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 ","Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 ","Revit Host Type : Basic Wall : Concrete_Core 20"" : id 5415705 ",,5415705,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,1,0,0,,0.5 * Pi,FALSE,0,FinishFaceInterior,FALSE,FALSE,0,0,Revit Level : LEVEL 04 : id 5391257 ,2093,Revit Level : LEVEL 21 : id 5391961 ,TRUE,3,TRUE,1.34E+07,669760,320,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,FALSE,FALSE,FALSE,NonBearing,
"Concrete_Core 18""","Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5416103,18,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5416103,"Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 ","Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 ","Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 ",,5416031,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,1,0,0,,0,FALSE,0,FinishFaceInterior,FALSE,FALSE,-8,0,Revit Level : LEVEL 21 : id 5391961 ,1537,Revit Level : LEVEL 34 : id 5392074 ,TRUE,3,TRUE,8.89E+06,494130.125,400.125,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,FALSE,FALSE,FALSE,NonBearing,
"Concrete_Core 18""","Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5416152,18,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5416152,"Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 ","Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 ","Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 ",,5416031,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,1,0,0,,0.5 * Pi,FALSE,0,FinishFaceInterior,FALSE,FALSE,-8,0,Revit Level : LEVEL 21 : id 5391961 ,1537,Revit Level : LEVEL 34 : id 5392074 ,TRUE,3,TRUE,8.80E+06,488766,318,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,FALSE,FALSE,FALSE,NonBearing,
"Concrete_Core 18""","Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5416204,18,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5416204,"Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 ","Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 ","Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 ",,5416031,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,1,0,0,,0,FALSE,0,FinishFaceInterior,FALSE,FALSE,-8,0,Revit Level : LEVEL 21 : id 5391961 ,1537,Revit Level : LEVEL 34 : id 5392074 ,TRUE,3,TRUE,8.05E+06,447124.125,400.125,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,FALSE,FALSE,FALSE,NonBearing,
"Concrete_Core 18""","Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5416321,18,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5416321,"Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 ","Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 ","Revit Host Type : Basic Wall : Concrete_Core 18"" : id 5416031 ",,5416031,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,1,0,0,,0.5 * Pi,FALSE,0,FinishFaceInterior,FALSE,FALSE,-8,0,Revit Level : LEVEL 21 : id 5391961 ,1537,Revit Level : LEVEL 34 : id 5392074 ,TRUE,3,TRUE,8.30E+06,461100,318,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,FALSE,FALSE,FALSE,NonBearing,
"Concrete_Core 12""","Revit Host Type : Basic Wall : Concrete_Core 12"" : id 1499868 @ HA_1249_550TenthAVE_Arch_detached 211016_MbreauCNSZQ.rvt",5416433,12,Revit Category : Walls : id -2000011 ,Revit Category : Walls : id -2000011 ,,TRUE,,,,TRUE,5416433,"Revit Host Type : Basic Wall : Concrete_Core 12"" : id 1499868 ","Revit Host Type : Basic Wall : Concrete_Core 12"" : id 1499868 ","Revit Host Type : Basic Wall : Concrete_Core 12"" : id 1499868 ",,1499868,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,1,0,0,,0,FALSE,0,FinishFaceInterior,FALSE,FALSE,-12,0,Revit Level : LEVEL 34 : id 5392074 ,1862,Revit Level : LEVEL 48 EMR : id 10745431 ,TRUE,3,TRUE,7.43E+06,618952.75,394.125,,,Revit Element : <None>,Main Model,,,,,2138,,,0,Revit Element : <None>,Revit Phase : New Construction : id 118390 ,0,FALSE,FALSE,FALSE,NonBearing,
